"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"1078",34113506,43488489,"Katrien",2015-09-06,"within an hour","100","94","t","Townhouse",90,750,100,"Ghent",100,0.11,1,0.94,8.33,0.83,7.87
"1079",34176178,14033643,"Sophie",2014-04-08,"within an hour","100","99","t","Cottage",50,NA,97,"Ghent",97,0.74,1,0.99,0,1,9.2
"1080",34357223,259367896,"Scout",2019-05-02,"within an hour","100","92","t","House",39,200,100,"Ghent",100,-1.52,1,0.92,5.13,0.9,6.35
"1081",34387563,14550028,"Nadja",2014-04-21,"within an hour","100","100","t","Boat",85,300,97,"Ghent",97,0.72,1,1,3.53,0.93,9.01
"1082",34677191,64506861,"Denny",2016-03-26,"within an hour","100","100","t","Townhouse",95,0,97,"Ghent",96,-0.14,1,1,0,1,8.36
"1083",35216156,265156366,"Vedran",2019-05-30,"within an hour","100","100","t","Apartment",200,0,97,"Ghent",97,-1.55,1,1,0,1,6.95
"1084",35268307,17353704,"Isabelle",2014-06-28,"within an hour","100","97","t","Guest suite",50,NA,99,"Ghent",99,0.64,1,0.97,0,1,9.02
"1085",35645026,268154207,"Sander",2019-06-12,"within an hour","100","100","t","Condominium",49,NA,99,"Ghent",99,-1.57,1,1,0,1,6.93
"1086",35895454,141236840,"Pauline",2017-07-18,"within an hour","100","100","t","Townhouse",59,NA,99,"Ghent",99,-0.72,1,1,0,1,7.78
"1087",36225818,25748959,"Joachim & Sarah",2015-01-07,"within an hour","100","87","t","Townhouse",50,0,97,"Ghent",97,0.4,1,0.87,0,1,8.38
"1088",36285608,272913310,"Ayesha",2019-07-02,"within an hour","100","100","t","Townhouse",75,NA,96,"Ghent",98,-1.59,1,1,0,1,6.91
"1089",36291731,272946154,"Guido",2019-07-02,"within an hour","100","100","t","Apartment",90,0,99,"Ghent",99,-1.59,1,1,0,1,6.91
"1090",36503556,274438998,"Moutasem",2019-07-08,"within an hour","100","100","t","Apartment",25,NA,95,"Ghent",95,-1.6,1,1,0,1,6.9
"1091",36679101,10165213,"Tom",2013-11-21,"within an hour","100","100","t","Townhouse",80,0,98,"Ghent",98,0.91,1,1,0,1,9.41
