"","reviews_per_month","availability_30","price","id","place"
"2573",0.52,0,60,797781,"Brussels"
"2574",0.24,0,65,805365,"Brussels"
"2575",8.55,2,85,807834,"Brussels"
"2576",0.3,19,48,811507,"Brussels"
"2577",2.6,29,80,811769,"Brussels"
"2578",0.62,24,81,812232,"Brussels"
"2579",4.73,29,75,817887,"Brussels"
"2580",0.03,0,70,820616,"Brussels"
"2581",0.39,0,95,820940,"Brussels"
"2582",3.75,29,95,823737,"Brussels"
"2583",0.21,0,70,824830,"Brussels"
"2584",3.8,28,65,837815,"Brussels"
"2585",1.11,19,110,838973,"Brussels"
"2586",0.09,0,25,840670,"Brussels"
"2587",NA,30,120,845565,"Brussels"
"2588",0.03,30,130,845573,"Brussels"
"2589",0.09,18,80,847618,"Brussels"
"2590",0.52,30,150,853991,"Brussels"
"2591",3.75,29,70,856316,"Brussels"
"2592",0.73,25,40,856337,"Brussels"
"2593",4.27,30,70,864415,"Brussels"
"2594",0.13,0,30,865982,"Brussels"
"2595",0.03,0,85,866957,"Brussels"
"2596",1.37,0,30,870791,"Brussels"
"2597",3.42,27,40,871638,"Brussels"
"2598",0.29,29,180,877917,"Brussels"
"2599",0.62,0,70,880402,"Brussels"
"2600",0.83,29,65,888251,"Brussels"
"2601",0.94,24,114,898284,"Brussels"
"2602",0.57,0,125,901256,"Brussels"
"2603",4.6,30,74,905055,"Brussels"
"2604",0.12,0,80,907555,"Brussels"
"2605",0.04,0,53,913408,"Brussels"
"2606",NA,30,125,914739,"Brussels"
"2607",0.36,8,150,933649,"Brussels"
"2608",1.98,27,90,938771,"Brussels"
"2609",1.3,0,65,941279,"Brussels"
"2610",4.19,24,65,952213,"Brussels"
"2611",1.02,13,45,956076,"Brussels"
"2612",3.21,0,62,957524,"Brussels"
"2613",1.08,0,60,964913,"Brussels"
"2614",1.4,10,30,966899,"Brussels"
"2615",0.05,0,40,967338,"Brussels"
"2616",1.7,29,115,972913,"Brussels"
"2617",0.38,0,30,973238,"Brussels"
"2618",0.95,27,142,981248,"Brussels"
"2619",1.95,0,70,982587,"Brussels"
"2620",0.04,16,60,982723,"Brussels"
"2621",3.7,0,42,985143,"Brussels"
"2622",1.17,25,39,992573,"Brussels"
"2623",1.14,29,65,992623,"Brussels"
"2624",0.05,11,42,1007521,"Brussels"
"2625",3.87,28,50,1007943,"Brussels"
"2626",0.21,0,55,1012058,"Brussels"
"2627",0.53,29,52,1012995,"Brussels"
"2628",0.14,0,90,1013605,"Brussels"
"2629",0.24,0,160,1017600,"Brussels"
"2630",0.23,18,49,1027955,"Brussels"
"2631",4.31,2,68,1039139,"Brussels"
"2632",0.68,0,75,1041131,"Brussels"
"2633",1,25,90,1047270,"Brussels"
"2634",1.04,29,100,1050095,"Brussels"
"2635",0.1,30,200,1050484,"Brussels"
"2636",0.14,0,55,1052516,"Brussels"
"2637",NA,0,98,1056207,"Brussels"
"2638",0.44,0,70,1095437,"Brussels"
"2639",0.36,29,80,1096978,"Brussels"
"2640",1.45,3,40,1101677,"Brussels"
"2641",1.15,0,25,1109501,"Brussels"
"2642",NA,0,66,1137396,"Brussels"
"2643",0.53,27,73,1139182,"Brussels"
"2644",0.14,0,39,1139899,"Brussels"
"2645",1.33,30,145,1145911,"Brussels"
"2646",0.1,30,150,1146022,"Brussels"
"2647",0.61,28,38,1146560,"Brussels"
"2648",0.11,4,190,1149812,"Brussels"
"2649",0.03,30,39,1155898,"Brussels"
"2650",0.03,0,65,1156577,"Brussels"
"2651",0.83,30,86,1165062,"Brussels"
"2652",0.66,29,60,1165927,"Brussels"
"2653",NA,0,43,1168590,"Brussels"
"2654",0.11,0,35,1178801,"Brussels"
"2655",0.42,0,47,1179465,"Brussels"
"2656",0.62,0,67,1184497,"Brussels"
"2657",1.06,30,70,1184573,"Brussels"
"2658",2.44,24,90,1184619,"Brussels"
